Number,Color,Genti,Knocking,Texture,Umbilical,Touch,Good
1,-,Collapse,Turbid,Clear,Sag,HardSlip,Yes
2,Black,Collapse,Dull,Clear,Sag,-,Yes
3,Black,Collapse,-,Clear,Sag,HardSlip,Yes
4,Green,Collapse,Dull,Clear,Sag,HardSlip,Yes
5,-,Collapse,Turbid,Clear,Sag,HardSlip,Yes
6,Green,Slightly,Turbid,Clear,-,SoftSticky,Yes
7,Black,Slightly,Turbid,Slightly,Slightly,SoftSticky,Yes
8,Black,Slightly,Turbid,-,Slightly,HardSlip,Yes
9,Black,-,Dull,Slightly,Slightly,HardSlip,No
10,Green,Stiff,Crisp,-,Flat,SoftSticky,No
11,White,Stiff,Crisp,Blurry,Flat,-,No
12,White,Collapse,-,Blurry,Flat,SoftSticky,No
13,-,Slightly,Turbid,Slightly,Sag,HardSlip,No
14,White,Slightly,Dull,Slightly,Sag,HardSlip,No
15,Black,Slightly,Turbid,Clear,-,SoftSticky,No
16,White,Collapse,Turbid,Blurry,Flat,HardSlip,No
17,Green,-,Dull,Slightly,Slightly,HardSlip,No
